"id"	"sheet_no"	"cas"	"cas_no"	"goods_name"
"2618"	"表4"	"12642-23-8"	"12642-23-8"	"多氯三联苯 5442"
"2619"	"表4"	"11126-42-4[易燃溶剂溶液]"	"11126-42-4"	"多氯三联苯 5460，溶液"
"2620"	"表4"	"11126-42-4"	"11126-42-4"	"多氯三联苯 5460"
"2621"	"表2"	"61788-33-8"	"61788-33-8"	"多氯三联苯"
"2622"	"表4"	"18559-94-9[易燃溶剂溶液]"	"18559-94-9"	"沙丁胺醇，溶液"
"2623"	"表4"	"18559-94-9"	"18559-94-9"	"沙丁胺醇"
"2624"	"表2"	"83-41-0"	"83-41-0"	"2,3-二甲基硝基苯"
"2625"	"表2"	"89-87-2"	"89-87-2"	"2,4-二甲基硝基苯"
"2626"	"表4"	"81-20-9[甲醇溶液]"	"81-20-9"	"2,6-二甲基硝基苯，甲醇溶液"
"2627"	"表4"	"81-20-9"	"81-20-9"	"2,6-二甲基硝基苯"
"2628"	"表2"	"99-51-4"	"99-51-4"	"3,4-二甲基硝基苯"
"2629"	"表2"	"99-12-7"	"99-12-7"	"3,5-二甲基硝基苯"
"2630"	"表2"	"612-22-6"	"612-22-6"	"1-乙基-2-硝基苯"
"2631"	"表2"	"100-12-9"	"100-12-9"	"1-乙基-4-硝基苯"
"2632"	"表2"	"20062-22-0"	"20062-22-0"	"2,2',4,4',6,6'-六硝基-1,2-二苯乙烯"
"2633"	"表4"	"133408-50-1[易燃溶剂溶液]"	"133408-50-1"	"(E)-2-甲氧亚胺基-N-甲基-2-(2-苯氧基苯基)乙酰胺，溶液"
"2634"	"表4"	"133408-50-1"	"133408-50-1"	"(E)-2-甲氧亚胺基-N-甲基-2-(2-苯氧基苯基)乙酰胺"
"2635"	"表4"	"15165-67-0[易燃溶剂溶液]"	"15165-67-0"	"(R)-(+)-2-(2,4-二氯苯氧基)丙酸，溶液"
"2636"	"表4"	"15165-67-0"	"15165-67-0"	"(R)-(+)-2-(2,4-二氯苯氧基)丙酸"
"2637"	"表4"	"133408-51-2[易燃溶剂溶液]"	"133408-51-2"	"(Z)-2-甲氧亚胺基-N-甲基-2-(2-苯氧基苯基)乙酰胺，溶液"
"2638"	"表4"	"133408-51-2"	"133408-51-2"	"(Z)-2-甲氧亚胺基-N-甲基-2-(2-苯氧基苯基)乙酰胺"
"2639"	"表4"	"72-43-5[易燃溶剂溶液]"	"72-43-5"	"1,1,1-三氯-2,2-双(4-甲氧基苯基)乙烷，溶液"
"2640"	"表4"	"72-43-5"	"72-43-5"	"1,1,1-三氯-2,2-双(4-甲氧基苯基)乙烷"
"2641"	"表4"	"50-29-3[易燃溶剂溶液]"	"50-29-3"	"1,1,1-三氯-2,2-双(对氯苯基)乙烷，溶液"
"2642"	"表4"	"50-29-3"	"50-29-3"	"1,1,1-三氯-2,2-双(对氯苯基)乙烷"
"2643"	"表4"	"72-54-8[易燃溶剂溶液]"	"72-54-8"	"1,1-二氯-2,2-双(4-氯苯基)乙烷，溶液"
"2644"	"表4"	"72-54-8"	"72-54-8"	"1,1-二氯-2,2-双(4-氯苯基)乙烷"
"2645"	"表4"	"72-55-9[甲醇溶液]"	"72-55-9"	"1,1-二氯-2,2-双(4-氯苯基)乙烯，甲醇溶液"
"2646"	"表4"	"72-55-9[易燃溶剂溶液]"	"72-55-9"	"1,1-二氯-2,2-双(4-氯苯基)乙烯，溶液"
"2647"	"表4"	"72-55-9"	"72-55-9"	"1,1-二氯-2,2-双(4-氯苯基)乙烯"
"2648"	"表4"	"145-39-1[易燃溶剂溶液]"	"145-39-1"	"1-叔丁基-3,4,5-三甲基-2,6-二硝基苯，溶液"
"2649"	"表4"	"145-39-1"	"145-39-1"	"1-叔丁基-3,4,5-三甲基-2,6-二硝基苯"
"2650"	"表4"	"93-72-1[易燃溶剂溶液]"	"93-72-1"	"2-(2,4,5-三氯苯氧基)丙酸，溶液"
"2651"	"表4"	"93-72-1"	"93-72-1"	"2-(2,4,5-三氯苯氧基)丙酸"
"2652"	"表4"	"120-36-5[易燃溶剂溶液]"	"120-36-5"	"2-(2,4-二氯苯氧基)丙酸，溶液"
"2653"	"表4"	"120-36-5"	"120-36-5"	"2-(2,4-二氯苯氧基)丙酸"
"2654"	"表4"	"93-65-2[易燃溶剂溶液]"	"93-65-2"	"2-(4-氯-2-甲基苯氧基)丙酸，溶液"
"2655"	"表4"	"93-65-2"	"93-65-2"	"2-(4-氯-2-甲基苯氧基)丙酸"
"2656"	"表4"	"115-32-2[易燃溶剂溶液]"	"115-32-2"	"2,2,2-三氯-1,1-双(4-氯苯基)乙醇，溶液"
"2657"	"表4"	"115-32-2"	"115-32-2"	"2,2,2-三氯-1,1-双(4-氯苯基)乙醇"
"2658"	"表4"	"510-15-6[易燃溶剂溶液]"	"510-15-6"	"2,2-双(4-氯苯基)-2-羟基乙酸乙酯，溶液"
"2659"	"表4"	"510-15-6"	"510-15-6"	"2,2-双(4-氯苯基)-2-羟基乙酸乙酯"
"2660"	"表4"	"93-76-5[易燃溶剂溶液]"	"93-76-5"	"2,4,5-三氯苯氧基乙酸，溶液"
"2661"	"表4"	"93-76-5"	"93-76-5"	"2,4,5-三氯苯氧基乙酸"
"2662"	"表4"	"789-02-6[甲醇溶液]"	"789-02-6"	"2,4'-二氯二苯三氯乙烷，甲醇溶液"
"2663"	"表4"	"789-02-6[易燃溶剂溶液]"	"789-02-6"	"2,4'-二氯二苯三氯乙烷，溶液"
"2664"	"表4"	"789-02-6"	"789-02-6"	"2,4'-二氯二苯三氯乙烷"
"2665"	"表2"	"56281-37-9"	"56281-37-9"	"2,5-二甲氧基-4-溴苯乙胺，盐酸盐"
"2666"	"表2"	"66142-81-2"	"66142-81-2"	"2,5-二甲氧基-4-溴苯乙胺"
"2667"	"表2"	"22139-65-7"	"22139-65-7"	"2,5-二甲氧基-4-乙基安非他明，盐酸盐"
"2668"	"表2"	"22004-32-6"	"22004-32-6"	"2,5-二甲氧基-4-乙基安非他明"
"2669"	"表4"	"83-66-9[易燃溶剂溶液]"	"83-66-9"	"2,6-二硝基-3-甲氧基-4-叔丁基甲苯，溶液"
"2670"	"表4"	"83-66-9"	"83-66-9"	"2,6-二硝基-3-甲氧基-4-叔丁基甲苯"
"2671"	"表4"	"1582-09-8[易燃溶剂溶液]"	"1582-09-8"	"2,6-二硝基-N,N-二丙基-4-(三氟甲基)苯胺，溶液"
"2672"	"表4"	"1582-09-8"	"1582-09-8"	"2,6-二硝基-N,N-二丙基-4-(三氟甲基)苯胺"
"2673"	"表4"	"1119449-37-4[丙酮溶液]"	"1119449-37-4"	"2-[4-(1-乙基-1,4-二甲基戊基)苯氧基]乙醇，丙酮溶液"
"2674"	"表4"	"1119449-37-4"	"1119449-37-4"	"2-[4-(1-乙基-1,4-二甲基戊基)苯氧基]乙醇"
"2675"	"表4"	"1119449-38-5[丙酮溶液]"	"1119449-38-5"	"2-{2-[4-(1-乙基-1,4-二甲基戊基)苯氧基]乙氧基}乙醇，丙酮溶液"
"2676"	"表4"	"1119449-38-5"	"1119449-38-5"	"2-{2-[4-(1-乙基-1,4-二甲基戊基)苯氧基]乙氧基}乙醇"
"2677"	"表4"	"35572-78-2"	"35572-78-2"	"2-氨基-4,6-二硝基甲苯"
"2678"	"表4"	"35572-78-2[易燃溶剂溶液]"	"35572-78-2"	"2-氨基-4,6-二硝基甲苯，溶液"
"2679"	"表4"	"94-81-5[易燃溶剂溶液]"	"94-81-5"	"2-甲基-4-氯苯氧丁酸，溶液"
"2680"	"表4"	"94-81-5"	"94-81-5"	"2-甲基-4-氯苯氧丁酸"
"2681"	"表2"	"532-27-4"	"532-27-4"	"2-氯乙酰苯"
"2682"	"表4"	"330-54-1[易燃溶剂溶液]"	"330-54-1"	"3-(3,4-二氯苯)-1,1-二甲基脲，溶液"
"2683"	"表4"	"330-54-1"	"330-54-1"	"3-(3,4-二氯苯)-1,1-二甲基脲"
"2684"	"表4"	"1918-00-9[易燃溶剂溶液]"	"1918-00-9"	"3,6-二氯-2-甲氧基苯甲酸，溶液"
"2685"	"表4"	"1918-00-9"	"1918-00-9"	"3,6-二氯-2-甲氧基苯甲酸"
"2686"	"表4"	"3424-82-6[易燃溶剂溶液]"	"3424-82-6"	"3-邻氯苯基-2-对氯苯基-1,1-二氯乙烯，溶液"
"2687"	"表4"	"3424-82-6"	"3424-82-6"	"3-邻氯苯基-2-对氯苯基-1,1-二氯乙烯"
"2688"	"表4"	"94-82-6[易燃溶剂溶液]"	"94-82-6"	"4-(2,4-二氯苯氧基)丁酸，溶液"
"2689"	"表4"	"94-82-6"	"94-82-6"	"4-(2,4-二氯苯氧基)丁酸"
"2690"	"表2"	"722-27-0"	"722-27-0"	"4,4'-二硫二苯胺"
"2691"	"表4"	"101-14-4[易燃溶剂溶液]"	"101-14-4"	"4,4-亚甲基双(2-氯苯胺)，溶液"
"2692"	"表4"	"101-14-4"	"101-14-4"	"4,4-亚甲基双(2-氯苯胺)"
"2693"	"表2"	"80-51-3"	"80-51-3"	"4,4'-氧双(苯磺酰肼)"
"2694"	"表2"	"120-58-1"	"120-58-1"	"4-丙烯基-1,2-亚甲二氧基苯"
"2695"	"表2"	"622-68-4"	"622-68-4"	"4-二甲氨基偶氮苯-4'-胂酸"
"2696"	"表4"	"96-77-5[硫酸溶液]"	"96-77-5"	"4-羟基-1,3-苯二磺酸，硫酸溶液"
"2697"	"表4"	"96-77-5"	"96-77-5"	"4-羟基-1,3-苯二磺酸"
"2698"	"表4"	"1689-83-4[易燃溶剂溶液]"	"1689-83-4"	"4-羟基-3,5-二碘苄腈，溶液"
"2699"	"表4"	"1689-83-4"	"1689-83-4"	"4-羟基-3,5-二碘苄腈"
"2700"	"表4"	"2315-61-9[丙酮溶液]"	"2315-61-9"	"4-叔丁基苯酚二氧化物，丙酮溶液"
"2701"	"表4"	"2315-61-9"	"2315-61-9"	"4-叔丁基苯酚二氧化物"
"2702"	"表4"	"2315-67-5[丙酮溶液]"	"2315-67-5"	"4-叔辛基苯酚单氧化物，丙酮溶液"
"2703"	"表4"	"2315-67-5"	"2315-67-5"	"4-叔辛基苯酚单氧化物"
"2704"	"表2"	"94-59-7"	"94-59-7"	"4-烯丙基-1,2-亚甲基二氧基苯"
"2705"	"表4"	"66840-71-9[甲醇溶液]"	"66840-71-9"	"N,N-二甲基-N'-对甲苯磺酰二胺，甲醇溶液"
"2706"	"表4"	"66840-71-9[易燃溶剂溶液]"	"66840-71-9"	"N,N-二甲基-N'-对甲苯磺酰二胺，溶液"
"2707"	"表4"	"66840-71-9"	"66840-71-9"	"N,N-二甲基-N'-对甲苯磺酰二胺"
"2708"	"表2"	"1421-68-7"	"1421-68-7"	"N-3-[1-羟基-2-(甲氨基)乙基]苯基甲烷磺酰胺，甲烷磺酸盐"
"2709"	"表4"	"122-42-9[丙酮溶液]"	"122-42-9"	"N-苯基氨基甲酸异丙酯，丙酮溶液"
"2710"	"表4"	"122-42-9[易燃溶剂溶液]"	"122-42-9"	"N-苯基氨基甲酸异丙酯，溶液"
"2711"	"表4"	"122-42-9"	"122-42-9"	"N-苯基氨基甲酸异丙酯"
"2712"	"表4"	"67747-09-5[易燃溶剂溶液]"	"67747-09-5"	"N-丙基-N-[2-(2,4,6-三氯苯氧基)乙基]-1H-咪唑-1-甲酰胺，溶液"
"2713"	"表4"	"67747-09-5"	"67747-09-5"	"N-丙基-N-[2-(2,4,6-三氯苯氧基)乙基]-1H-咪唑-1-甲酰胺"
"2714"	"表2"	"311-45-5"	"311-45-5"	"O,O-二乙基-O-(4-硝基苯基)磷酸酯"
"2715"	"表3"	"2104-64-5[含量≤15%]"	"2104-64-5"	"O-乙基-O-(4-硝基苯基)苯基硫代膦酸酯"
"2716"	"表3"	"2104-64-5"	"2104-64-5"	"O-乙基-O-(4-硝基苯基)苯基硫代膦酸酯"
"2717"	"表2"	"134-80-5"	"134-80-5"	"安非拉酮，盐酸盐"
"2718"	"表2"	"90-84-6"	"90-84-6"	"安非拉酮"
"2719"	"表4"	"19044-88-3[易燃溶剂溶液]"	"19044-88-3"	"氨磺乐灵，溶液"
"2720"	"表4"	"19044-88-3"	"19044-88-3"	"氨磺乐灵"
"2721"	"表4"	"52-85-7[易燃溶剂溶液]"	"52-85-7"	"氨磺膦，溶液"
"2722"	"表4"	"52-85-7"	"52-85-7"	"氨磺膦"
"2723"	"表4"	"29091-21-2[易燃溶剂溶液]"	"29091-21-2"	"氨基丙氟灵，溶液"
"2724"	"表4"	"29091-21-2"	"29091-21-2"	"氨基丙氟灵"
"2725"	"表4"	"55-38-9[易燃溶剂溶液]"	"55-38-9"	"倍硫磷，溶液"
"2726"	"表4"	"55-38-9"	"55-38-9"	"倍硫磷"
"2727"	"表2"	"4547-70-0"	"4547-70-0"	"苯-1,3-二磺酰肼"
"2728"	"表2"	"1333-39-7"	"1333-39-7"	"苯酚磺酸"
"2729"	"表4"	"13067-93-1[易燃溶剂溶液]"	"13067-93-1"	"苯腈磷，溶液"
"2730"	"表4"	"13067-93-1"	"13067-93-1"	"苯腈磷"
"2731"	"表4"	"104344-23-2[易燃溶剂溶液]"	"104344-23-2"	"比索洛尔，半富马酸盐，溶液"
"2732"	"表4"	"104344-23-2"	"104344-23-2"	"比索洛尔，半富马酸盐"
"2733"	"表4"	"69806-50-4[易燃溶剂溶液]"	"69806-50-4"	"吡氟禾草隆，溶液"
"2734"	"表4"	"69806-50-4"	"69806-50-4"	"吡氟禾草隆"
"2735"	"表4"	"25311-71-1[易燃溶剂溶液]"	"25311-71-1"	"丙胺磷，溶液"
"2736"	"表4"	"25311-71-1"	"25311-71-1"	"丙胺磷"
"2737"	"表4"	"114-26-1[丙酮溶液]"	"114-26-1"	"残杀威，丙酮溶液"
"2738"	"表4"	"114-26-1[易燃溶剂溶液]"	"114-26-1"	"残杀威，溶液"
"2739"	"表4"	"114-26-1"	"114-26-1"	"残杀威"
"2740"	"表4"	"957-51-7[易燃溶剂溶液]"	"957-51-7"	"草乃敌，溶液"
"2741"	"表4"	"957-51-7"	"957-51-7"	"草乃敌"
"2742"	"表4"	"97-17-6[易燃溶剂溶液]"	"97-17-6"	"除线磷，溶液"
"2743"	"表4"	"97-17-6"	"97-17-6"	"除线磷"
"2744"	"表4"	"2597-03-7[易燃溶剂溶液]"	"2597-03-7"	"稻丰散，溶液"
"2745"	"表4"	"2597-03-7"	"2597-03-7"	"稻丰散"
"2746"	"表3"	"944-22-9[含量≤6%]"	"944-22-9"	"地虫磷"
"2747"	"表3"	"944-22-9"	"944-22-9"	"地虫磷"
"2748"	"表4"	"88-85-7[易燃溶剂溶液]"	"88-85-7"	"地乐酚，溶液"
"2749"	"表4"	"88-85-7"	"88-85-7"	"地乐酚"
"2750"	"表4"	"741-58-2[易燃溶剂溶液]"	"741-58-2"	"地散磷，溶液"
"2751"	"表4"	"741-58-2"	"741-58-2"	"地散磷"
"2752"	"表4"	"23184-66-9[易燃溶剂溶液]"	"23184-66-9"	"丁草胺，溶液"
"2753"	"表4"	"23184-66-9"	"23184-66-9"	"丁草胺"
"2754"	"表4"	"1918-16-7[易燃溶剂溶液]"	"1918-16-7"	"毒草胺，溶液"
"2755"	"表4"	"1918-16-7"	"1918-16-7"	"毒草胺"
"2756"	"表4"	"327-98-0[易燃溶剂溶液]"	"327-98-0"	"毒坏磷，溶液"
"2757"	"表4"	"327-98-0"	"327-98-0"	"毒坏磷"
"2758"	"表4"	"2921-88-2[丙酮溶液]"	"2921-88-2"	"毒死蜱，丙酮溶液"
"2759"	"表4"	"2921-88-2[甲醇溶液]"	"2921-88-2"	"毒死蜱，甲醇溶液"
"2760"	"表4"	"2921-88-2[易燃溶剂溶液]"	"2921-88-2"	"毒死蜱，溶液"
"2761"	"表4"	"2921-88-2"	"2921-88-2"	"毒死蜱"
"2762"	"表2"	"106-51-4"	"106-51-4"	"对苯醌"
"2763"	"表3"	"56-38-2[含量≤4%]"	"56-38-2"	"对硫磷"
"2764"	"表3"	"56-38-2"	"56-38-2"	"对硫磷"
"2765"	"表4"	"21609-90-5[易燃溶剂溶液]"	"21609-90-5"	"对溴磷，溶液"
"2766"	"表4"	"21609-90-5"	"21609-90-5"	"对溴磷"
"2767"	"表2"	"1666-13-3"	"1666-13-3"	"二苯基二硒醚"
"2768"	"表2"	"776-74-9"	"776-74-9"	"二苯基溴甲烷"
"2769"	"表2"	"26747-93-3"	"26747-93-3"	"二磺酰肼苯，异构体混合物"
"2770"	"表2"	"644-97-3"	"644-97-3"	"二氯苯基膦"
"2771"	"表2"	"696-28-6"	"696-28-6"	"二氯苯胂"
"2772"	"表2"	"622-44-6"	"622-44-6"	"二氯代苯胩"
"2773"	"表2"	"2343-36-4"	"2343-36-4"	"法尼林"
"2774"	"表4"	"1944-12-3[易燃溶剂溶液]"	"1944-12-3"	"非诺特罗，氢溴酸盐，溶液"
"2775"	"表4"	"1944-12-3"	"1944-12-3"	"非诺特罗，氢溴酸盐"
"2776"	"表4"	"2275-14-1[易燃溶剂溶液]"	"2275-14-1"	"芬硫磷，溶液"
"2777"	"表4"	"2275-14-1"	"2275-14-1"	"芬硫磷"
"2778"	"表3"	"115-90-22[含量≤4%]"	"115-90-2"	"丰索磷"
"2779"	"表3"	"115-90-2"	"115-90-2"	"丰索磷"
"2780"	"表2"	"77-21-4"	"77-21-4"	"格鲁米特"
"2781"	"表4"	"144-80-9[易燃溶剂溶液]"	"144-80-9"	"磺乙酰胺，溶液"
"2782"	"表4"	"144-80-9"	"144-80-9"	"磺乙酰胺"
"2783"	"表4"	"3942-54-9[易燃溶剂溶液]"	"3942-54-9"	"甲氨基甲酸-2-氯苯酯，溶液"
"2784"	"表4"	"3942-54-9"	"3942-54-9"	"甲氨基甲酸-2-氯苯酯"
"2785"	"表2"	"26471-62-5"	"26471-62-5"	"甲苯二异氰酸酯，异构体混合物"
"2786"	"表4"	"15972-60-8[甲醇溶液]"	"15972-60-8"	"甲草胺，甲醇溶液"
"2787"	"表4"	"15972-60-8[易燃溶剂溶液]"	"15972-60-8"	"甲草胺，溶液"
"2788"	"表4"	"15972-60-8"	"15972-60-8"	"甲草胺"
"2789"	"表4"	"298-00-0[丙酮溶液]"	"298-00-0"	"甲基对硫磷，丙酮溶液"
"2790"	"表4"	"298-00-0[氯仿溶液]"	"298-00-0"	"甲基对硫磷，氯仿溶液"
"2791"	"表4"	"298-00-0[易燃溶剂溶液]"	"298-00-0"	"甲基对硫磷，溶液"
"2792"	"表4"	"298-00-0"	"298-00-0"	"甲基对硫磷"
"2793"	"表2"	"950-35-6"	"950-35-6"	"甲基对氧磷"
"2794"	"表4"	"99675-03-3[易燃溶剂溶液]"	"99675-03-3"	"甲基异柳磷，溶液"
"2795"	"表4"	"99675-03-3"	"99675-03-3"	"甲基异柳磷"
"2796"	"表2"	"3254-63-5"	"3254-63-5"	"甲硫磷"
"2797"	"表4"	"2032-65-7[易燃溶剂溶液]"	"2032-65-7"	"甲硫威，溶液"
"2798"	"表4"	"2032-65-7"	"2032-65-7"	"甲硫威"
"2799"	"表4"	"57837-19-1[易燃溶剂溶液]"	"57837-19-1"	"甲霜灵，溶液"
"2800"	"表4"	"57837-19-1"	"57837-19-1"	"甲霜灵"
"2801"	"表2"	"469-79-4"	"469-79-4"	"凯托米酮"
"2802"	"表2"	"73737-18-5"	"73737-18-5"	"凯托米酮，氢溴酸盐"
"2803"	"表2"	"5965-49-1"	"5965-49-1"	"凯托米酮，盐酸盐"
"2804"	"表4"	"17109-49-8[易燃溶剂溶液]"	"17109-49-8"	"克瘟散，溶液"
"2805"	"表4"	"17109-49-8"	"17109-49-8"	"克瘟散"
"2806"	"表2"	"50930-79-5"	"50930-79-5"	"邻苯二甲酸，苯胺盐"
"2807"	"表2"	"3270-86-8"	"3270-86-8"	"硫代磷酸-Ｏ,O-二乙基-S-(4-硝基苯基)酯"
"2808"	"表3"	"28930-30-5"	"28930-30-5"	"六硝基二苯硫"
"2809"	"表3"	"28930-30-5[含水≥10%]"	"28930-30-5"	"六硝基二苯硫"
"2810"	"表2"	"60238-56-4"	"60238-56-4"	"氯甲硫磷，异构体混合物"
"2811"	"表2"	"21923-23-9"	"21923-23-9"	"氯甲硫磷"
"2812"	"表4"	"500-28-7[易燃溶剂溶液]"	"500-28-7"	"氯硫磷，溶液"
"2813"	"表4"	"500-28-7"	"500-28-7"	"氯硫磷"
"2814"	"表2"	"148-82-3"	"148-82-3"	"美法仑"
"2815"	"表2"	"17243-57-1"	"17243-57-1"	"美芬雷司"
"2816"	"表2"	"5586-87-8"	"5586-87-8"	"美芬雷司，盐酸盐"
"2817"	"表4"	"2631-37-0[易燃溶剂溶液]"	"2631-37-0"	"猛杀威，溶液"
"2818"	"表4"	"2631-37-0"	"2631-37-0"	"猛杀威"
"2819"	"表4"	"28249-77-6[易燃溶剂溶液]"	"28249-77-6"	"灭草丹，溶液"
"2820"	"表4"	"28249-77-6"	"28249-77-6"	"灭草丹"
"2821"	"表4"	"2425-10-7[易燃溶剂溶液]"	"2425-10-7"	"灭杀威，溶液"
"2822"	"表4"	"2425-10-7"	"2425-10-7"	"灭杀威"
"2823"	"表4"	"299-84-3[易燃溶剂溶液]"	"299-84-3"	"皮蝇磷，溶液"
"2824"	"表4"	"299-84-3"	"299-84-3"	"皮蝇磷"
"2825"	"表4"	"51630-58-1[易燃溶剂溶液]"	"51630-58-1"	"氰戊菊酯，溶液"
"2826"	"表4"	"51630-58-1"	"51630-58-1"	"氰戊菊酯"
"2827"	"表2"	"23319-66-6"	"23319-66-6"	"乳酸苯汞三乙醇铵"
"2828"	"表4"	"2686-99-9[易燃溶剂溶液]"	"2686-99-9"	"三甲威，溶液"
"2829"	"表4"	"2686-99-9"	"2686-99-9"	"三甲威"
"2830"	"表4"	"786-19-6[易燃溶剂溶液]"	"786-19-6"	"三硫磷，溶液"
"2831"	"表4"	"786-19-6"	"786-19-6"	"三硫磷"
"2832"	"表4"	"6164-98-3[易燃溶剂溶液]"	"6164-98-3"	"杀虫脒，溶液"
"2833"	"表2"	"19750-95-9"	"19750-95-9"	"杀虫脒，盐酸盐"
"2834"	"表4"	"6164-98-3"	"6164-98-3"	"杀虫脒"
"2835"	"表4"	"2636-26-2[易燃溶剂溶液]"	"2636-26-2"	"杀螟腈，溶液"
"2836"	"表4"	"2636-26-2"	"2636-26-2"	"杀螟腈"
"2837"	"表4"	"122-14-5[易燃溶剂溶液]"	"122-14-5"	"杀螟硫磷，溶液"
"2838"	"表4"	"122-14-5"	"122-14-5"	"杀螟硫磷"
"2839"	"表4"	"24353-61-5[易燃溶剂溶液]"	"24353-61-5"	"水胺硫磷，溶液"
"2840"	"表4"	"24353-61-5"	"24353-61-5"	"水胺硫磷"
"2841"	"表4"	"1129-41-5[易燃溶剂溶液]"	"1129-41-5"	"速灭威，溶液"
"2842"	"表4"	"1129-41-5"	"1129-41-5"	"速灭威"
"2843"	"表4"	"2057-84-3[易燃溶剂溶液]"	"2057-84-3"	"戊醛-2,4-二硝基苯腙，溶液"
"2844"	"表4"	"2057-84-3"	"2057-84-3"	"戊醛-2,4-二硝基苯腙"
"2845"	"表4"	"584-79-2[易燃溶剂溶液]"	"584-79-2"	"烯丙菊酯，溶液"
"2846"	"表4"	"584-79-2"	"584-79-2"	"烯丙菊酯"
"2847"	"表4"	"14816-18-3[易燃溶剂溶液]"	"14816-18-3"	"辛硫磷，溶液"
"2848"	"表4"	"14816-18-3"	"14816-18-3"	"辛硫磷"
"2849"	"表2"	"22212-55-1"	"22212-55-1"	"新燕灵"
"2850"	"表4"	"52918-63-5[易燃溶剂溶液]"	"52918-63-5"	"溴氰菊酯，溶液"
"2851"	"表4"	"52918-63-5"	"52918-63-5"	"溴氰菊酯"
"2852"	"表4"	"4824-78-6[易燃溶剂溶液]"	"4824-78-6"	"乙基溴硫磷，溶液"
"2853"	"表4"	"4824-78-6"	"4824-78-6"	"乙基溴硫磷"
"2854"	"表4"	"29973-13-5[易燃溶剂溶液]"	"29973-13-5"	"乙硫甲威，溶液"
"2855"	"表4"	"29973-13-5"	"29973-13-5"	"乙硫甲威"
"2856"	"表4"	"26087-47-8[易燃溶剂溶液]"	"26087-47-8"	"异稻瘟净，溶液"
"2857"	"表4"	"26087-47-8"	"26087-47-8"	"异稻瘟净"
"2858"	"表4"	"2057-82-1[易燃溶剂溶液]"	"2057-82-1"	"异丁醛-2,4-二硝基苯基腙异丁醛，溶液"
"2859"	"表4"	"2057-82-1"	"2057-82-1"	"异丁醛-2,4-二硝基苯基腙异丁醛"
"2860"	"表4"	"2256-01-1[易燃溶剂溶液]"	"2256-01-1"	"异戊醛-2,4-二硝基苯基腙异丁醛，溶液"
"2861"	"表4"	"2256-01-1"	"2256-01-1"	"异戊醛-2,4-二硝基苯基腙异丁醛"
"2862"	"表4"	"1085-98-9[易燃溶剂溶液]"	"1085-98-9"	"抑菌灵，溶液"
"2863"	"表4"	"1085-98-9"	"1085-98-9"	"抑菌灵"
"2864"	"表4"	"299-86-5[易燃溶剂溶液]"	"299-86-5"	"育畜磷，溶液"
"2865"	"表4"	"299-86-5"	"299-86-5"	"育畜磷"
"2866"	"表4"	"191-07-1[易燃溶剂溶液]"	"191-07-1"	"晕苯，溶液"
"2867"	"表4"	"191-07-1"	"191-07-1"	"晕苯"
"2868"	"表4"	"1019-57-4[易燃溶剂溶液]"	"1019-57-4"	"乙醛-2,4-二硝基苯腙，溶液"
"2869"	"表4"	"1019-57-4"	"1019-57-4"	"乙醛-2,4-二硝基苯腙"
"2870"	"表4"	"1567-89-1[易燃溶剂溶液]"	"1567-89-1"	"丙酮-2,4-二硝基苯腙，溶液"
"2871"	"表4"	"1567-89-1"	"1567-89-1"	"丙酮-2,4-二硝基苯腙"
"2872"	"表4"	"888-54-0[易燃溶剂溶液]"	"888-54-0"	"丙烯醛-2,4-二硝基苯腙，溶液"
"2873"	"表4"	"888-54-0"	"888-54-0"	"丙烯醛-2,4-二硝基苯腙"
"2874"	"表4"	"958-60-1[易燃溶剂溶液]"	"958-60-1"	"甲基乙基酮-2,4-二硝基苯腙，溶液"
"2875"	"表4"	"958-60-1"	"958-60-1"	"甲基乙基酮-2,4-二硝基苯腙"
"2876"	"表4"	"1081-15-8[易燃溶剂溶液]"	"1081-15-8"	"甲醛-2,4-二硝基苯腙，溶液"
"2877"	"表4"	"1081-15-8"	"1081-15-8"	"甲醛-2,4-二硝基苯腙"
"2878"	"表2"	"75-86-5"	"75-86-5"	"丙酮氰醇"
"2879"	"表2"	"113-18-8"	"113-18-8"	"乙氯维诺"
"2880"	"表4"	"51437-89-9[甲醇溶液]"	"51437-89-9"	"2-(4-辛基苯氧基)乙醇，甲醇溶液"
"2881"	"表4"	"51437-89-9"	"51437-89-9"	"2-(4-辛基苯氧基)乙醇"
"2882"	"表4"	"51437-90-2"	"51437-90-2"	"4-辛基酚二乙氧酯"
"2883"	"表4"	"51437-90-2[甲醇溶液]"	"51437-90-2"	"4-辛基酚二乙氧酯，甲醇溶液"
"2884"	"表4"	"20427-84-3[丙酮溶液]"	"20427-84-3"	"壬基酚二氧化物，丙酮溶液"
"2885"	"表4"	"20427-84-3[甲醇溶液]"	"20427-84-3"	"壬基酚二氧化物，甲醇溶液"
"2886"	"表4"	"20427-84-3"	"20427-84-3"	"壬基酚二氧化物"
"2887"	"表2"	"115-19-5"	"115-19-5"	"2-甲基-3-丁炔-2-醇"
"2888"	"表2"	"77-75-8"	"77-75-8"	"3-甲基-1-戊炔-3-醇"
"2889"	"表2"	"513-42-8"	"513-42-8"	"2-甲基-2-丙烯-1-醇"
"2890"	"表2"	"110-65-6"	"110-65-6"	"2-丁炔-1,4-二醇"
"2891"	"表2"	"107-19-7"	"107-19-7"	"2-丙炔-1-醇"
