"id"	"sheet_no"	"cas"	"cas_no"	"goods_name"
"83"	"表3"	"7440-32-6[颗粒状或粉末状海绵钛]"	"7440-32-6"	"钛"
"84"	"表3"	"7440-32-6[粉状,干的]"	"7440-32-6"	"钛粉"
"85"	"表3"	"7440-32-6[粉状,含水≥25%]"	"7440-32-6"	"钛粉"
"86"	"表3"	"7440-36-0[非粉状]"	"7440-36-0"	"锑"
"87"	"表3"	"7440-36-0[粉状]"	"7440-36-0"	"锑粉"
"88"	"表3"	"7440-50-8[非粉状]"	"7440-50-8"	"铜"
"89"	"表4"	"7440-50-8[乙醇溶液]"	"7440-50-8"	"铜，乙醇溶液"
"90"	"表3"	"7440-50-8[粉状]"	"7440-50-8"	"铜粉"
"91"	"表4"	"7440-31-5"	"7440-31-5"	"锡"
"92"	"表4"	"7440-31-5[稀盐酸溶液]"	"7440-31-5"	"锡，稀盐酸溶液"
"93"	"表3"	"7440-66-6[粒状或片状]"	"7440-66-6"	"锌"
"94"	"表3"	"7440-66-6[粉状或粉尘状]"	"7440-66-6"	"锌粉"
"95"	"表3"	"7440-66-6[灰状]"	"7440-66-6"	"锌灰"
"96"	"表3"	"7440-74-6[非粉状]"	"7440-74-6"	"铟"
"97"	"表4"	"7440-74-6[稀盐酸溶液]"	"7440-74-6"	"铟，稀盐酸溶液"
"98"	"表3"	"7440-74-6[粉状]"	"7440-74-6"	"铟粉"
"99"	"表4"	"7440-22-4"	"7440-22-4"	"银"
"100"	"表4"	"7440-22-4[水溶液]"	"7440-22-4"	"银，水分散液"
"101"	"表2"	"10102-44-0"	"10102-44-0"	"过氧化氮"
"102"	"表3"	"7722-84-1[含量＜8%]"	"7722-84-1"	"过氧化氢，水溶液"
"103"	"表3"	"7722-84-1[含量20-27.4%]"	"7722-84-1"	"过氧化氢，水溶液"
"104"	"表3"	"7722-84-1[含量27.5-60%]"	"7722-84-1"	"过氧化氢，水溶液"
"105"	"表3"	"7722-84-1[含量8-20%]"	"7722-84-1"	"过氧化氢，水溶液"
"106"	"表3"	"7722-84-1[含量＞60%]"	"7722-84-1"	"过氧化氢，水溶液"
"107"	"表2"	"68848-64-6"	"68848-64-6"	"硅锂合金"
"108"	"表3"	"57485-31-1[有涂层]"	"57485-31-1"	"硅铝合金"
